id,pid,url,host,keywords,label
430,422,http://baby.163.com/,baby.163.com,,亲子
431,422,http://bbs.lady.163.com/,bbs.lady.163.com,,论坛
432,422,http://lady.163.com/blog/,lady.163.com,blog,博客
433,422,https://itunes.apple.com/cn/app/id401827947?mt=8,itunes.apple.com,cn|app,杂志
434,422,http://lady.163.com/special/00263DIF/fsxp.html,lady.163.com,special|fsxp,服饰搭配库
435,422,http://lady.163.com/special/,lady.163.com,special,专题
436,422,http://cosmetic.lady.163.com/,cosmetic.lady.163.com,,化妆品库
437,335,http://lady.163.com/special/tag/,lady.163.com,special|tag,女人百科
438,437,http://lady.163.com/photo/,lady.163.com,photo,女人图库
439,437,http://lady.163.com/special/zhuaquzixun/,lady.163.com,special|zhuaquzixun,最新资讯
440,437,http://lady.163.com/baike/,lady.163.com,baike,女人百科全书
441,437,http://lady.163.com/sitemap.html,lady.163.com,sitemap,频道地图
442,335,http://tech.163.com/,tech.163.com,,科技
443,442,http://tech.163.com/latest/,tech.163.com,latest,滚动
444,442,http://tech.163.com/special/0009rt/ycbd.html,tech.163.com,special|ycbd,原创
445,442,http://tech.163.com/internet,tech.163.com,internet,互联网
446,442,http://tech.163.com/telecom,tech.163.com,telecom,通信
447,442,http://tech.163.com/it,tech.163.com,it,业界
448,442,http://tech.163.com/3g/,tech.163.com,,3G
449,442,http://v.tech.163.com/,v.tech.163.com,,视频
450,442,http://tech.163.com/special/00092FUU/blog_tech.html,tech.163.com,special|blog_tech,博客
451,442,http://bbs.tech.163.com/,bbs.tech.163.com,,IT茶馆
452,442,http://tech.163.com/dailysite/,tech.163.com,dailysite,每日一站
453,442,http://tech.163.com/special/,tech.163.com,special,专题
454,442,http://tech.163.com/chindex,tech.163.com,chindex,概念股
455,442,http://tech.163.com/company/,tech.163.com,company,科技企业库
456,335,http://digi.163.com/,digi.163.com,,数码
457,456,http://digi.163.com/nb/,digi.163.com,nb,笔记本
458,456,http://digi.163.com/dc/,digi.163.com,dc,相机
459,456,http://digi.163.com/pad/,digi.163.com,pad,平板电脑
460,456,http://digi.163.com/smart/,digi.163.com,smart,穿戴数码
461,456,http://hea.163.com/,hea.163.com,,家电
462,456,http://digi.163.com/apple/,digi.163.com,apple,苹果专区
463,456,http://digi.163.com/notebook/,digi.163.com,notebook,数码大全
464,456,http://digi.163.com/bbs/,digi.163.com,bbs,数码论坛
465,456,http://digi.163.com/quotation/,digi.163.com,quotation,数码行情
466,456,http://digi.163.com/special/digitalmen2/,digi.163.com,special,数码贱男
467,456,http://digi.163.com/wsy/,digi.163.com,wsy,微摄影
468,335,http://tech.163.com/digi/special/digi_attitude/,tech.163.com,digi|special|digi_attitude,评测有态度
469,468,http://tech.163.com/digi/special/digi_trial/,tech.163.com,digi|special|digi_trial,达人试用
470,468,http://digi.163.com/special/photos/,digi.163.com,special|photos,图片中心
471,335,http://mobile.163.com/,mobile.163.com,,手机
472,471,http://tech.163.com/mobile/special/m/mobileprice.html,tech.163.com,mobile|special|m|mobileprice,报价
473,471,http://tech.163.com/mobile/special/s/001117AB/sjhq.html,tech.163.com,mobile|special|s|sjhq,行情
474,471,http://product.tech.163.com/mobile/,product.tech.163.com,mobile,手机大全
475,471,http://tech.163.com/mobile/special/s/001117A7/sjdg.html,tech.163.com,mobile|special|s|sjdg,导购
476,471,http://tech.163.com/mobile/special/s/0011179S/sjpc.html,tech.163.com,mobile|special|s|sjpc,评测
477,471,http://tech.163.com/mobile/special/s/0011179N/sjsd.html,tech.163.com,mobile|special|s|sjsd,新机
478,471,http://club.tech.163.com/,club.tech.163.com,,论坛
479,471,http://tech.163.com/3G,tech.163.com,,3G
480,471,http://tech.163.com/mobile/special/001135MS/museum_expert.html,tech.163.com,mobile|special|museum_expert,达人
